variant,same_data_hashes,strategy_config_hash,data_hash_bundle,trade_count,total_return,cagr,max_drawdown,sharpe,calmar,win_rate,payoff_ratio,profit_factor
strategy_v5_alpha_first_fit_frozen,1,5cabb97495ad1fd00933dd5f7184a3d24858bad2402350b862bcedd6199a6a75,420a6f62cf87f12a80703830b0d34eae19c57118c5d1799192d577132b50a9c3,105.000000,0.206239,0.448025,-0.087793,1.940947,5.103173,0.400000,2.183245,1.455497
strategy_v5_alpha_ranked,1,a3bcee9cc9131cd6580ab05f5526d0aae3fdfaf875f3d9f63d26e6d240e11abd,420a6f62cf87f12a80703830b0d34eae19c57118c5d1799192d577132b50a9c3,103.000000,0.001747,0.003452,-0.107914,0.110857,0.031992,0.349515,1.870365,1.004972
