decile,candidate_count,selected_count,avg_ranking_score,avg_entry_score
1,29,0,96.551724,87.586207
2,29,0,90.448276,83.448276
3,29,0,85.551724,82.758621
4,29,1,84.068966,80.000000
5,29,0,80.000000,76.896552
6,29,1,77.517241,77.586207
7,29,0,75.551724,81.034483
8,29,1,74.172414,76.896552
9,29,0,70.344828,73.103448
10,29,0,70.000000,75.172414
