date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-02-10,000338,潍柴动力,制造业,BULL,1,1,82.000000,0.000000,82.000000,40.000000,20.000000,10.000000,12.000000,0.000000,60.000000,1,2,1,,500,24.794000,29.702143,3.478233,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=37.03|rs60=49.95|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-24,000021,深科技,制造业,BULL,1,1,77.000000,0.000000,77.000000,35.000000,20.000000,10.000000,12.000000,0.000000,60.000000,1,4,1,,400,31.654000,39.534286,2.724143,MA20>MA60|MA60>MA120|close>MA20|rs20=8.32|rs60=39.97|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-03-03,000338,潍柴动力,制造业,NORMAL,1,1,72.000000,0.000000,72.000000,35.000000,20.000000,5.000000,12.000000,0.000000,80.000000,1,4,1,,500,25.872000,27.680000,2.074830,MA20>MA60|MA60>MA120|close>MA20|rs20=9.88|rs60=52.72|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|volume_confirmed|rsi_entry_zone
