code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
000338,2026-02-11,2026-03-03,964.778454,three_bars_no_high,2026-02-10,2,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=37.03|rs60=49.95|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000021,2026-02-25,2026-03-04,-1562.768165,close_stop,2026-02-24,4,77.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.32|rs60=39.97|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000338,2026-03-04,2026-03-06,604.733431,target_close_confirmed,2026-03-03,4,72.000000,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=9.88|rs60=52.72|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|volume_confirmed|rsi_entry_zone
