policy,seed,prepared_context_hash,kernel_run_hash,selected_set_hash,fills_economic_hash,trades_economic_hash,selected_count,selected_overlap_with_ranked,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,win_rate,payoff_ratio,trade_count,fill_count,turnover,exposure,avg_exposure,max_exposure,elapsed_seconds
RANDOM,10,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,afcfb06e4f55a94c3c97adc7a7a8b0db8f15d0fabd78cae3a6562078751cc549,6fe5af3566d620c6ebbc423668fcf1ab80d5578ad4503e7126fbfd562d5e7202,ed6e7a992a7bcd2b9e74e98a518c775ea59aef4bcc08adeaa01149adfb45138d,e9d980d97ebd7405bd55284e5dafd61292fca6b6004d50745a30b53e00468aca,117,0.45871559633,0.124443614353,0.260571562331,-0.0891398133472,1.43793498171,2.92317823593,1.31043969795,0.405405405405,1.92197822366,111,237,26.780451735,0.385075981094,0.385075981094,0.717606961106,0.3974876
RANDOM,11,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,245b470620d2e36aadf730c7e1d715ceaacce97ca7956d37feb21192033ac837,4c0019e8cba4ad212c86645b569ceff344bb24c4893d3e40f3f212b1396b8c95,68d80a0e912faffafa7b4f6fc8ef9a59db0b2edef202ebdbe5955da445c0c065,07214d91e536fa534ba26562df1f438f8e4ab94637e0c8d47bbd28527de74032,103,0.422018348624,0.0686747218854,0.140119687311,-0.151382012037,0.830503366147,0.925603282882,1.16875034202,0.357894736842,2.09687561362,95,197,23.097601995,0.36400322233,0.36400322233,0.780304409435,0.372602
RANDOM,12,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,b5aeb7f96b66ae8dd2f8f2a05172fa46a5452aa928f32d280d1b1393f24f2bd4,21d5f895b7d6366372c3cddb505e675e4d301a1a2d3c3cdf5d9464ffe4b8a837,9b2c24a82388cb8fe0427bcdda9615f60f57628621d3386def386e5cc669740a,973fe2f4b43bbfa238383a24c5e11b21f34060532e3850f8e3e41593a94149fe,115,0.440366972477,-0.0029694462641,-0.00585416885289,-0.123187733859,0.0638911751785,-0.0475223357838,0.993799001953,0.330188679245,2.01599226111,106,225,24.015276805,0.366444818706,0.366444818706,0.756800746333,0.4129756
RANDOM,13,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,fb1afc23540976d60808afefac833fe05f4fcabda61e437e1efad978e3a7ffc8,c63862c3e1ea2d3d3c09dc1f5a8d9af6a6e2ff904e56d92b544421f60493ee56,082476e2e3f8abc651a6515478bc89c080a246845007883b4146851ea9d5e75d,70b2df2801f13be83488a38d21764b3d504e37761f576a4f2831cec3b2ae41ac,122,0.449541284404,0.072126667624,0.147402014892,-0.115788651671,0.807104768503,1.27302643882,1.16110563922,0.366972477064,2.00290722766,109,229,24.25784904,0.325368036676,0.325368036676,0.689857847268,0.5784297
RANDOM,14,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,4e4e1231c6e93e3c005fb0a58c6bcfc531da5606e94140e871054b2697e7e807,8aeac15c1bdf8a9e40de5b4991cfcea208012411df2e1934154a5221a75d7008,11b0c992a68485381775bea7bb27a6c677bfff33fc2c93815bd1ca7992d75aaf,821df5344f6d766eabe65db43acf070e25e6b3e6e66c274ad53294fb41a31184,122,0.495412844037,0.0389375874299,0.0783331885615,-0.124320961594,0.537269909177,0.630088341958,1.08206714866,0.330434782609,2.1926097486,115,242,25.433794885,0.36225415049,0.36225415049,0.725077894737,0.7370064
RANDOM,15,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,7def76fa9cde072e99b6c8898425b636b81b6504fb1eb4fb5bbbcc94aef46514,1e13cc1f1815f1286468c28f9a6d12529e1a040f6663ac6bd67e1d22c43c88af,5b4766d605ba37f46a7d669331b3fc98b9ad4915223e8c54c7154102a8a76f14,1f110ed881d582f9f256921263818719de8a23ed7ddc895e6b4c5c6dfcc127e1,120,0.376146788991,0.483897288089,1.17975043412,-0.0950553965217,3.82607766198,12.4111883942,1.98423310892,0.413793103448,2.81099690431,116,241,32.146009795,0.376238571528,0.376238571528,0.704615889665,0.9904804
RANDOM,16,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,fff9ff45c889c83412c8a7f33f151ca50829bebf96b0d8bff9c209f5ab637262,cb2e7f1e0643d0bc1eb9720a14b8cc0a8b4c93dc73aac183b450dbbfc3f62c86,ee63416c4727d4867ab05645ef5a80b8c2147505c23419a4194f318e8ee24f0f,3add8ba4e73168dc09f3590bccadf55055607353875ea8116b6bf09e23ff9012,114,0.412844036697,0.122984469435,0.257344018805,-0.0872164893976,1.30057436875,2.95063491528,1.25784317853,0.423423423423,1.71280773247,111,235,25.894332845,0.371626709011,0.371626709011,0.691003512671,0.566558
RANDOM,17,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,98caed6ac001e43cc948910bccfd72d3ccc924e5fd2349eeab867e20a791f693,9cd1792a011e592e305710c3c768a9f9ac2c1fc1fe799086ea863c58863038be,78d88f84d301697e41fb5aa3555887859d0ef9af0243c9e056dba99151bde2b1,7719ba256519f56178e45ab0d0c907b4cb043948b3f969d769e940fcaee8f153,112,0.394495412844,0.419788656414,0.997739964036,-0.100518928999,3.68729622993,9.92589131195,2.03803653343,0.444444444444,2.54754566679,108,228,27.20729404,0.371083853246,0.371083853246,0.715784916124,0.5823195
RANDOM,18,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,b849d80909e90d84eda13751b506e7b284ad0bb7df031e0b8864950a5df99b1a,036184c1344f5e9bb6c4d8617b8abe7387ebc34ec749295d0672894505d41b65,b25de176773bd1f563cf42c561d57a68391a858392f302b74c234b413a7b15cb,0982852dc34921f2691bf6b25a7678ee12a7f83cbea7daabed14b130c09aa56c,107,0.348623853211,0.242202338703,0.534497669118,-0.121601457472,2.4409296577,4.3954873587,1.68979675357,0.448979591837,2.07384147029,98,207,22.742515115,0.384221113486,0.384221113486,0.69070856264,0.5212117
RANDOM,19,ace066960d482e7963b6be31f2aa23d3f4555fb3cfdeda451cf3e7fbfb0b4fba,dcbf2cd4304fc2bbf1939276f72a9714c069604a20a6026137a48c7577541598,ce8ccddd83f710f58339a13238a78ebead0673ed58c5aa0c881af696615e14af,a8d18371a4bd9346ac92aefa466dea5c31d91b051a14f60f19dfbc170aeb890b,b7d8744ca010f04b3380759ed1b0c15c018a857ab6e85a2a33c30f942b419384,114,0.522935779817,0.00780381021005,0.0154658224913,-0.135901748796,0.179166344229,0.113801497246,1.0170610088,0.352941176471,1.86461184947,102,214,22.96254209,0.356322322098,0.356322322098,0.676505088289,0.5086694
