strategy_mode,item,formal_hash,kernel_hash,v8_hash
strategy_v5_alpha_ranked,funnel,bacded5957eb5ec937679485b134edfa802a4e39260a65831daab2f63ed1ae38,bacded5957eb5ec937679485b134edfa802a4e39260a65831daab2f63ed1ae38,327cae6bad16ee3a497ffcd5360206a0fa8357fac2fdbc1f2f2526eeb32f475f
strategy_v5_alpha_ranked,discipline,8d1865ea16ade46a3a3389c41c56bf26d1973b285ab63115aee3c9565ede1bf4,8d1865ea16ade46a3a3389c41c56bf26d1973b285ab63115aee3c9565ede1bf4,2caf06e43c6a0897d3a1be16d26d0cf906140e0015920b0c4b1e75523b96c50b
strategy_v5_alpha_first_fit_frozen,funnel,15c310f0db883a11fea46edafa5fb747337289c7441459b4f32bd67963f5401e,15c310f0db883a11fea46edafa5fb747337289c7441459b4f32bd67963f5401e,5613d82ca1ecb62b0aa6f9350f67c58e3bbbb0b48d3c668dfbaa2dc3126a86d2
strategy_v5_alpha_first_fit_frozen,discipline,67c6e3e0f4a18945faea36ce78539a272297bb09a9e9a61052f60861d16775d4,67c6e3e0f4a18945faea36ce78539a272297bb09a9e9a61052f60861d16775d4,8ee74ab93c43730480aa18ef4581836f0a091eada20e6fc1626aacc41a1a5d5e
