run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
870,RANDOM,5cc523c46afd1706a9b5f5dfec4c07f73d47f69136767b866908162b213afebd,5cc523c46afd1706a9b5f5dfec4c07f73d47f69136767b866908162b213afebd,30,,0.568065,0.568065,-0.028350,2.948299,20.037351,4.103476,30,,,stateful_replay_over_full_engine_hard_pass
871,RANDOM,32505387ee14a132bfcbef1fc1e2a4366fcef8c6421f55a900fde4dbe499e4e7,32505387ee14a132bfcbef1fc1e2a4366fcef8c6421f55a900fde4dbe499e4e7,30,,0.236417,0.236417,-0.111802,1.299333,2.114607,1.657717,30,,,stateful_replay_over_full_engine_hard_pass
872,RANDOM,44742819e2307df310c73811b4fceb659e223a3ababd4cbaa1e67ad751b2b51f,44742819e2307df310c73811b4fceb659e223a3ababd4cbaa1e67ad751b2b51f,30,,0.454407,0.454407,-0.112059,2.376576,4.055064,2.638397,30,,,stateful_replay_over_full_engine_hard_pass
873,RANDOM,7eba501a01dce4bd293785a54e231b7f289477bb559bfbef6c6c18ab3487ed33,7eba501a01dce4bd293785a54e231b7f289477bb559bfbef6c6c18ab3487ed33,30,,0.720135,0.720135,-0.032242,3.308662,22.335018,4.720704,30,,,stateful_replay_over_full_engine_hard_pass
874,RANDOM,51975fcbd3dba0c34d8829bea722029555b0d463a2a73d2d4c57b09dca30633e,51975fcbd3dba0c34d8829bea722029555b0d463a2a73d2d4c57b09dca30633e,30,,0.714977,0.714977,-0.034447,3.123749,20.756014,4.186819,30,,,stateful_replay_over_full_engine_hard_pass
875,RANDOM,42220b148bcb6e188f098cdbc818474ccc8765f191042ddd0fadbd48fb40b309,42220b148bcb6e188f098cdbc818474ccc8765f191042ddd0fadbd48fb40b309,30,,0.638938,0.638938,-0.065370,2.997470,9.774135,2.903847,30,,,stateful_replay_over_full_engine_hard_pass
876,RANDOM,f88fc5972bf9d7d0fefaa8cfcdaaab315d0e6a69e4dc3e7995551d372092c569,f88fc5972bf9d7d0fefaa8cfcdaaab315d0e6a69e4dc3e7995551d372092c569,30,,0.586629,0.586629,-0.100729,2.259387,5.823855,2.582119,30,,,stateful_replay_over_full_engine_hard_pass
877,RANDOM,417f417e78889d28262de08e4fe6a225cee68da282faab45735da3204b0f20e4,417f417e78889d28262de08e4fe6a225cee68da282faab45735da3204b0f20e4,30,,0.478656,0.478656,-0.063232,2.781989,7.569802,3.443466,30,,,stateful_replay_over_full_engine_hard_pass
878,RANDOM,b96526993038f6456d7262f0b1b6ffab69e3471d2e45799ae5a36526b60fbebb,b96526993038f6456d7262f0b1b6ffab69e3471d2e45799ae5a36526b60fbebb,30,,0.541075,0.541075,-0.063218,2.169486,8.558879,2.891380,30,,,stateful_replay_over_full_engine_hard_pass
879,RANDOM,12d90128532066698521dfc0df2948e7ede713ca851c46c8cabbe8886077c8fd,12d90128532066698521dfc0df2948e7ede713ca851c46c8cabbe8886077c8fd,30,,0.213916,0.213916,-0.157957,1.439279,1.354263,1.584053,30,,,stateful_replay_over_full_engine_hard_pass
880,RANDOM,53932bb948651e6ccb4060c448bb081cf1c39026bba40477084ec3c4ffdc312a,53932bb948651e6ccb4060c448bb081cf1c39026bba40477084ec3c4ffdc312a,30,,0.358873,0.358873,-0.131656,1.514387,2.725836,1.960883,30,,,stateful_replay_over_full_engine_hard_pass
881,RANDOM,ceb0b0a9e4b5e3074aa6f09654fa376cec15e7c06e5936c80724dbb4fb335f27,ceb0b0a9e4b5e3074aa6f09654fa376cec15e7c06e5936c80724dbb4fb335f27,30,,0.437790,0.437790,-0.097599,2.647722,4.485573,2.426299,30,,,stateful_replay_over_full_engine_hard_pass
882,RANDOM,d38b262e609efdd4bda91e6c3e44f2db47c7694d8ca69fa22fd6f92d1a68ac52,d38b262e609efdd4bda91e6c3e44f2db47c7694d8ca69fa22fd6f92d1a68ac52,30,,0.110702,0.110702,-0.162604,0.503973,0.680810,1.328243,30,,,stateful_replay_over_full_engine_hard_pass
883,RANDOM,3d8aa58b5c73fb83e4ed40997d84d1cfc6cb7ee358a1e031baea89a554674cbe,3d8aa58b5c73fb83e4ed40997d84d1cfc6cb7ee358a1e031baea89a554674cbe,30,,0.540764,0.540764,-0.052556,2.945540,10.289298,3.579050,30,,,stateful_replay_over_full_engine_hard_pass
884,RANDOM,f9fd5355f6e862fcbee67d284b25515126855fe3b1b2680b1ce0db01a75a9e86,f9fd5355f6e862fcbee67d284b25515126855fe3b1b2680b1ce0db01a75a9e86,30,,0.451170,0.451170,-0.080847,2.363465,5.580514,3.157117,30,,,stateful_replay_over_full_engine_hard_pass
885,RANDOM,119f6ecbe458123e367ae56344f6d0d267af0d192a42f0f197156d21c9ef70af,119f6ecbe458123e367ae56344f6d0d267af0d192a42f0f197156d21c9ef70af,30,,0.365419,0.365419,-0.107025,2.052686,3.414339,2.181236,30,,,stateful_replay_over_full_engine_hard_pass
886,RANDOM,abf6a4814bd5ab72413182d46bd5b6bb1ef9a9c8bd012d07ca82cd42c21e555f,abf6a4814bd5ab72413182d46bd5b6bb1ef9a9c8bd012d07ca82cd42c21e555f,30,,0.766243,0.766243,-0.020801,3.729677,36.836738,5.177380,30,,,stateful_replay_over_full_engine_hard_pass
887,RANDOM,68aaed49c47b5db4d1782c490a88d43d48af068d33c63818fe8acdcbdf9eccdc,68aaed49c47b5db4d1782c490a88d43d48af068d33c63818fe8acdcbdf9eccdc,30,,0.333541,0.333541,-0.073569,2.213143,4.533706,2.367468,30,,,stateful_replay_over_full_engine_hard_pass
888,RANDOM,b133433ff78d610d2a2de3f6db4065408fb36d06c1674114bd2ff60a66c90744,b133433ff78d610d2a2de3f6db4065408fb36d06c1674114bd2ff60a66c90744,30,,0.655171,0.655171,-0.080881,2.708843,8.100397,3.325592,30,,,stateful_replay_over_full_engine_hard_pass
889,RANDOM,4fd2b72d0785e3484f36c570fdab44b87bd1ad7c75e0b3e6f4ab5dc7e2a99be4,4fd2b72d0785e3484f36c570fdab44b87bd1ad7c75e0b3e6f4ab5dc7e2a99be4,30,,0.471592,0.471592,-0.084454,2.917516,5.584034,2.994080,30,,,stateful_replay_over_full_engine_hard_pass
890,RANDOM,4616a852913e2d34c35056a9028455b879a6549e0c5721f8360a28e95cf590a6,4616a852913e2d34c35056a9028455b879a6549e0c5721f8360a28e95cf590a6,30,,0.497035,0.497035,-0.050823,3.306339,9.779808,3.308972,30,,,stateful_replay_over_full_engine_hard_pass
