date,eligible,eligible_and_alpha,plus_entry,plus_regime,plus_sector_data,plus_four_no,plus_stop_valid,plus_rr,plus_sizing,hard_pass
2026-06-24,1742,292,195,195,195,4,4,4,2,2
2026-06-25,1740,282,192,192,192,7,7,7,3,3
2026-06-26,1737,181,94,94,94,6,6,6,6,6
2026-06-29,1717,229,136,136,136,6,6,6,5,5
2026-06-30,1715,354,241,241,241,9,9,9,6,6
2026-07-01,1720,242,140,140,140,12,12,12,11,11
2026-07-02,1718,148,97,97,97,1,1,1,1,1
2026-07-03,1728,196,148,148,148,2,2,2,2,2
2026-07-06,1718,175,138,138,138,2,2,2,2,2
2026-07-07,1717,158,121,121,121,0,0,0,0,0
2026-07-08,1708,108,89,89,89,0,0,0,0,0
2026-07-09,1703,294,270,270,270,3,3,3,1,1
