window,scope,ic_mean,ic_median,ic_std,icir,positive_ic_ratio,weighted_ic,unweighted_ic,block_bootstrap_ic_ci_low,block_bootstrap_ic_ci_high,horizon_coverage_count,censored_candidate_count
1d,hard_pass_candidates,0.100941,0.107988,0.414934,0.243269,0.631579,0.100941,0.100941,-0.005469,0.208272,580,1
3d,hard_pass_candidates,0.029698,-0.016737,0.430137,0.069044,0.456140,0.029698,0.029698,-0.097290,0.134109,579,2
5d,hard_pass_candidates,0.090483,-0.005281,0.459517,0.196908,0.491228,0.090483,0.090483,-0.044606,0.212810,575,6
7d,hard_pass_candidates,0.052062,-0.015859,0.503473,0.103405,0.482143,0.052062,0.052062,-0.087700,0.189038,562,19
10d,hard_pass_candidates,0.083762,0.000000,0.432892,0.193493,0.471698,0.083762,0.083762,-0.037400,0.197558,545,36
20d,hard_pass_candidates,0.133058,0.183556,0.474486,0.280425,0.612245,0.133058,0.133058,0.003849,0.267739,487,94
