window,date,quantile_count,quantile,candidate_count,average_future_return,average_excess_return,mfe,mae,target_hit_rate,stop_hit_rate
3,2026-01-09,5,4,3,-0.023372,-0.017561,0.045913,-0.069362,0.333333,1.000000
3,2026-01-09,5,5,1,-0.017320,-0.011508,0.058144,-0.054021,0.000000,0.000000
3,2026-02-10,5,1,2,0.024211,0.035930,0.080144,-0.009932,1.000000,0.500000
3,2026-02-10,5,2,2,0.055046,0.066765,0.109164,-0.007320,1.000000,0.500000
3,2026-02-10,5,3,2,-0.014112,-0.002393,0.057484,-0.030876,0.500000,0.500000
3,2026-02-10,5,4,2,0.024801,0.036520,0.078941,-0.037467,0.500000,1.000000
3,2026-02-10,5,5,2,0.014358,0.026077,0.054649,-0.007692,0.500000,0.500000
3,2026-02-24,5,1,3,0.025453,0.026074,0.069571,-0.012258,0.333333,1.000000
3,2026-02-24,5,2,3,0.021828,0.022449,0.062481,-0.041778,0.333333,1.000000
3,2026-02-24,5,3,3,0.057150,0.057771,0.106684,-0.026168,0.333333,1.000000
3,2026-02-24,5,4,3,0.030535,0.031157,0.058945,-0.034011,0.333333,1.000000
3,2026-02-25,10,1,3,-0.006567,-0.003884,0.050986,-0.047855,0.000000,1.000000
3,2026-02-25,10,2,3,0.072676,0.075359,0.115323,-0.013270,0.333333,0.666667
3,2026-02-25,10,3,3,0.048366,0.051049,0.079102,-0.017696,0.000000,1.000000
3,2026-02-25,10,4,3,0.000059,0.002742,0.037529,-0.027532,0.000000,1.000000
3,2026-02-25,10,5,3,0.038974,0.041657,0.059789,-0.024889,0.333333,0.666667
3,2026-02-25,10,6,3,0.002252,0.004935,0.065787,-0.043898,0.666667,1.000000
3,2026-02-25,10,7,3,0.075873,0.078556,0.130611,-0.008024,0.666667,1.000000
3,2026-02-25,10,8,1,-0.035639,-0.032956,0.032495,-0.037736,1.000000,1.000000
3,2026-02-26,5,1,4,-0.096169,-0.087144,0.034733,-0.098236,0.000000,1.000000
3,2026-02-26,5,2,4,-0.031707,-0.022681,0.061749,-0.038200,0.000000,1.000000
3,2026-02-26,5,3,4,-0.038957,-0.029932,0.059929,-0.050607,0.000000,1.000000
3,2026-02-26,5,4,4,0.106961,0.115987,0.153889,-0.034588,0.750000,1.000000
3,2026-02-26,5,5,3,-0.042374,-0.033349,0.039023,-0.047857,0.000000,1.000000
3,2026-04-09,5,1,2,-0.006069,-0.029211,0.031852,-0.029780,0.000000,1.000000
3,2026-04-09,5,2,2,0.004915,-0.018227,0.046172,-0.013810,0.000000,0.500000
3,2026-04-09,5,3,2,0.048811,0.025669,0.073804,-0.043499,1.000000,0.000000
3,2026-04-09,5,4,2,0.006252,-0.016890,0.045141,-0.061427,1.000000,0.500000
3,2026-04-09,5,5,2,0.029611,0.006469,0.081497,-0.022199,1.000000,0.000000
3,2026-04-10,5,1,2,0.007643,-0.007549,0.070002,-0.023034,0.500000,0.500000
3,2026-04-10,5,2,2,0.037741,0.022548,0.120778,-0.005444,0.500000,0.500000
3,2026-04-10,5,3,2,-0.026377,-0.041570,0.018208,-0.035445,0.000000,0.500000
3,2026-04-10,5,4,2,0.126371,0.111179,0.159240,-0.030863,1.000000,0.000000
3,2026-04-10,5,5,2,0.060910,0.045718,0.114025,-0.007209,0.500000,0.500000
3,2026-05-06,5,1,3,-0.068206,-0.079652,0.002533,-0.080333,0.000000,1.000000
3,2026-05-06,5,2,3,0.015650,0.004205,0.062333,-0.052694,0.333333,0.666667
3,2026-05-06,5,3,3,0.087915,0.076469,0.144411,-0.012608,1.000000,0.333333
3,2026-05-06,5,4,3,0.033422,0.021977,0.074141,-0.024916,0.333333,0.333333
3,2026-05-06,5,5,2,-0.004004,-0.015450,0.084391,-0.032489,0.500000,1.000000
3,2026-05-11,5,1,3,0.089237,0.099393,0.156781,-0.044597,0.666667,0.666667
3,2026-05-11,5,2,3,-0.008356,0.001799,0.038444,-0.030128,0.000000,1.000000
3,2026-05-11,5,3,3,0.009825,0.019981,0.057612,-0.021631,0.333333,1.000000
3,2026-05-11,5,4,2,0.005237,0.015392,0.057908,-0.071163,1.000000,0.500000
3,2026-06-17,5,1,2,0.045496,0.044816,0.094304,-0.025441,0.500000,0.500000
3,2026-06-17,5,2,2,-0.028089,-0.028769,0.079133,-0.055203,0.000000,1.000000
3,2026-06-17,5,3,2,-0.013445,-0.014125,0.074127,-0.070431,0.000000,1.000000
3,2026-06-17,5,4,2,-0.054269,-0.054948,0.040437,-0.076295,0.500000,1.000000
3,2026-06-17,5,5,2,-0.023933,-0.024613,0.066580,-0.038226,0.500000,1.000000
3,2026-06-18,5,1,3,-0.015036,-0.013758,0.063027,-0.085220,0.333333,0.666667
3,2026-06-18,5,2,3,-0.018553,-0.017275,0.057760,-0.078081,0.000000,1.000000
3,2026-06-18,5,3,3,0.053170,0.054448,0.073579,-0.065410,0.666667,1.000000
3,2026-06-18,5,4,2,-0.134513,-0.133235,0.050687,-0.209678,0.000000,1.000000
3,2026-06-22,5,1,3,0.014909,0.020440,0.047603,-0.050364,0.333333,0.666667
3,2026-06-22,5,2,3,0.042845,0.048376,0.080689,-0.075794,0.666667,0.666667
3,2026-06-22,5,3,3,0.115637,0.121168,0.159053,-0.064313,1.000000,0.666667
3,2026-06-22,5,4,3,0.029391,0.034922,0.121876,-0.033151,0.666667,0.666667
3,2026-06-22,5,5,2,0.010548,0.016079,0.045047,-0.078598,0.000000,1.000000
3,2026-07-01,5,1,3,-0.052045,-0.047282,0.093465,-0.101978,0.000000,1.000000
3,2026-07-01,5,2,3,-0.066030,-0.061267,0.081174,-0.088473,0.000000,1.000000
3,2026-07-01,5,3,3,-0.012906,-0.008143,0.041179,-0.093985,0.333333,1.000000
3,2026-07-01,5,4,2,-0.025316,-0.020553,0.086558,-0.082551,0.000000,1.000000
5,2026-01-09,5,1,3,0.001453,0.009373,0.073983,-0.040035,0.333333,1.000000
5,2026-01-09,5,2,3,-0.019694,-0.011774,0.086504,-0.072718,0.333333,0.666667
