code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count
002379,宏桥控股,2026-01-06,2026-01-13,25.6128,28.555715000000003,500,1471.4575000000013,17.13892875,1454.3185712500012,7,strategy_v5_alpha_entry,target_close_confirmed,5.0,12.138928750000002,1
002446,盛路通信,2026-01-06,2026-01-13,10.625309999999999,13.873060000000002,1200,3897.3000000000043,18.323836,3878.9761640000042,7,strategy_v5_alpha_entry,target_close_confirmed,5.0,13.323836000000002,1
000426,兴业银锡,2026-01-07,2026-01-15,41.2556175,50.364805000000004,400,3643.675000000002,25.109441500000003,3618.565558500002,8,strategy_v5_alpha_entry,target_close_confirmed,10.0,15.109441500000003,2
000603,盛达资源,2026-01-07,2026-01-15,34.327155,40.53972,300,1863.7695000000015,16.080958000000003,1847.6885420000015,8,strategy_v5_alpha_entry,target_close_confirmed,5.0,11.080958,1
601100,恒立液压,2026-01-14,2026-01-15,119.81988,112.9435,100,-687.6379999999997,15.87993838,-703.5179383799997,1,strategy_v5_alpha_entry,close_stop,5.11981988,10.7601185,1
600650,锦江在线,2026-01-16,2026-01-19,16.88844,16.081955,900,-725.8364999999988,17.533613305,-743.3701133049988,3,strategy_v5_alpha_entry,close_stop,5.15199596,12.381617345,1
000933,神火股份,2026-01-06,2026-01-20,29.324654999999996,31.934025000000002,500,1304.6850000000027,17.98350625,1286.7014937500028,14,strategy_v5_alpha_entry,target_close_confirmed,5.0,12.983506250000001,1
002281,光迅科技,2026-01-16,2026-01-20,78.039,72.83356500000001,100,-520.5434999999994,13.64167825,-534.1851782499995,4,strategy_v5_alpha_entry,close_stop,5.0,8.64167825,1
601212,白银有色,2026-01-14,2026-01-22,6.781166666666666,8.245875,2700,3954.7125000000024,27.103626999999996,3927.6088730000024,8,strategy_v5_alpha_entry,target_close_confirmed,10.1830915,16.920535499999996,2
300731,科创新源,2026-01-23,2026-01-26,63.79187999999999,60.179895,100,-361.198499999999,13.00899475,-374.207494749999,3,strategy_v5_alpha_entry,close_stop,5.0,8.00899475,1
002560,通达股份,2026-01-19,2026-01-28,10.855424999999999,10.83458,100,-2.084499999999778,10.541729,-12.626228999999778,9,strategy_v5_alpha_entry,time_stop,5.0,5.541729,1
002080,中材科技,2026-01-23,2026-01-28,41.350665,38.9805,300,-711.0495000000001,15.847075,-726.8965750000001,5,strategy_v5_alpha_entry,three_bars_no_high,5.0,10.847075,1
688291,金橙子,2026-01-20,2026-01-29,51.28563,46.95651,200,-865.8239999999992,14.892135280000002,-880.7161352799992,9,strategy_v5_alpha_entry,time_stop,5.10257126,9.78956402,1
300242,佳云科技,2026-01-27,2026-01-29,6.48324,5.937030000000001,2100,-1147.0409999999988,16.233881500000003,-1163.2748814999989,2,strategy_v5_alpha_entry,close_stop,5.0,11.233881500000003,1
300244,迪安诊断,2026-01-29,2026-01-30,24.03201,24.7876,600,453.35400000000095,17.43628,435.91772000000094,1,strategy_v5_alpha_entry,close_stop,5.0,12.43628,1
300863,卡倍亿,2026-01-30,2026-02-02,55.097535,60.41977500000001,200,1064.4480000000017,16.0419775,1048.4060225000017,3,strategy_v5_alpha_entry,target_close_confirmed,5.0,11.041977500000002,1
600486,扬农化工,2026-01-21,2026-02-03,74.13704999999999,73.833065,200,-60.796999999996615,17.67924673,-78.47624672999662,13,strategy_v5_alpha_entry,close_stop,5.1482741,12.530972629999999,1
300708,聚灿光电,2026-01-29,2026-02-03,10.38519,10.044975,1600,-544.3439999999981,18.035980000000002,-562.3799799999981,5,strategy_v5_alpha_entry,close_stop,5.0,13.03598,1
000560,我爱我家,2026-02-02,2026-02-03,3.3216599999999996,3.27836,5000,-216.49999999999724,18.1959,-234.69589999999724,1,strategy_v5_alpha_entry,close_stop,5.0,13.1959,1
000863,三湘印象,2026-02-02,2026-02-03,6.713355,6.17691,2500,-1341.112499999999,17.7211375,-1358.833637499999,1,strategy_v5_alpha_entry,close_stop,5.0,12.721137500000001,1
000962,东方钽业,2026-02-05,2026-02-06,44.92245,40.75961,300,-1248.8519999999987,16.1139415,-1264.9659414999987,1,strategy_v5_alpha_entry,close_stop,5.0,11.1139415,1
002922,伊戈尔,2026-02-05,2026-02-06,44.022,39.470255,300,-1365.523499999999,15.92053825,-1381.444038249999,1,strategy_v5_alpha_entry,close_stop,5.0,10.92053825,1
000738,航发控制,2026-02-05,2026-02-11,26.763375,27.346320000000002,600,349.76700000000136,18.203896,331.5631040000014,6,strategy_v5_alpha_entry,three_bars_no_high,5.0,13.203896,1
600763,通策医疗,2026-02-05,2026-02-11,48.524249999999995,48.625675,300,30.427500000001828,17.585301025,12.842198975001828,6,strategy_v5_alpha_entry,three_bars_no_high,5.14557275,12.439728275,1
002041,登海种业,2026-02-11,2026-02-13,10.4052,10.294850000000002,700,-77.24499999999904,13.6031975,-90.84819749999903,2,strategy_v5_alpha_entry,ma20_break,5.0,8.6031975,1
601872,招商轮船,2026-02-05,2026-02-24,12.006,13.403295000000002,1300,1816.4835000000019,19.042462585,1797.4410374150018,19,strategy_v5_alpha_entry,time_stop,5.156078,13.886384585,1
300738,奥飞数据,2026-02-12,2026-02-25,25.79956,24.237875000000003,300,-468.50549999999913,18.63568125,-487.14118124999914,13,strategy_v5_alpha_entry,close_stop,10.0,8.635681250000001,2
300739,明阳电路,2026-02-12,2026-02-25,21.140565,24.287850000000002,300,944.1855000000011,13.6431775,930.5423225000011,13,strategy_v5_alpha_entry,target_close_confirmed,5.0,8.6431775,1
000628,高新发展,2026-02-24,2026-02-25,56.878425,52.663655,100,-421.47700000000015,12.63318275,-434.11018275000015,1,strategy_v5_alpha_entry,close_stop,5.0,7.63318275,1
000338,潍柴动力,2026-02-11,2026-03-03,25.65282,27.616185,300,589.0095000000009,14.14242775,574.8670722500009,20,strategy_v5_alpha_entry,three_bars_no_high,5.0,9.14242775,1
000021,深科技,2026-02-25,2026-03-04,33.74486399999999,30.66466,500,-1540.1019999999955,22.666165,-1562.7681649999956,7,strategy_v5_alpha_entry,close_stop,10.0,12.666165,2
000683,博源化工,2026-02-26,2026-03-09,9.196701315789472,9.985005000000001,1900,1497.7770000000053,24.485754749999998,1473.2912452500052,11,strategy_v5_alpha_entry,three_bars_no_high,10.0,14.48575475,2
000688,国城矿业,2026-02-26,2026-03-09,38.019,33.453265,200,-913.1469999999993,13.3453265,-926.4923264999993,11,strategy_v5_alpha_entry,time_stop,5.0,8.3453265,1
002270,华明装备,2026-03-06,2026-03-12,35.99799,36.081950000000006,500,41.98000000000235,24.0204875,17.959512500002347,6,strategy_v5_alpha_entry,three_bars_no_high,10.0,14.020487500000002,2
000875,电投绿能,2026-02-26,2026-03-16,7.546271249999998,8.07596,2800,1483.128500000005,26.959516,1456.1689840000051,18,strategy_v5_alpha_entry,three_bars_no_high,10.0,16.959516,2
300185,通裕重工,2026-03-10,2026-03-16,3.311972619047619,4.107945000000001,6300,5014.626000000007,29.410040125000005,4985.215959875007,6,strategy_v5_alpha_entry,target_close_confirmed,10.0,19.410040125000005,2
300005,探路者,2026-03-11,2026-03-16,15.097544999999998,14.492750000000001,300,-181.43849999999927,12.1739125,-193.61241249999927,5,strategy_v5_alpha_entry,close_stop,5.0,7.1739125,1
000591,太阳能,2026-03-06,2026-03-17,6.153075,6.006995,2600,-379.80800000000113,17.8090935,-397.61709350000115,11,strategy_v5_alpha_entry,close_stop,5.0,12.8090935,1
000545,金浦钛业,2026-03-13,2026-03-19,3.92196,3.8080950000000002,4200,-478.2329999999986,17.9969995,-496.2299994999986,6,strategy_v5_alpha_entry,close_stop,5.0,12.996999500000001,1
600667,太极实业,2026-03-18,2026-03-23,11.705849999999998,10.09495,1400,-2255.259999999996,17.371676200000003,-2272.631676199996,5,strategy_v5_alpha_entry,close_stop,5.1638819,12.207794300000002,1
