date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-02-11,603876,add,18.709349999999997,200,5.0374187,pyramid_add,2026-02-10,17.679199999999998,21.806428571428572
2026-02-11,300408,buy,56.058015,100,5.0,strategy_v5_alpha_ranked_entry,2026-02-10,53.70399999999999,64.11500000000001
2026-02-12,001896,sell,8.285855,2200,14.1144405,target_close_confirmed,2026-02-11,6.974285714285714,7.524285714285714
2026-02-12,300738,buy,25.79289,500,5.0,strategy_v5_alpha_ranked_entry,2026-02-11,23.7944,29.69
2026-02-13,300738,add,25.8129,200,5.0,pyramid_add,2026-02-12,24.5686,31.792142857142856
2026-02-13,600388,buy,18.959474999999998,100,5.018959475,strategy_v5_alpha_ranked_entry,2026-02-12,18.1986,21.11642857142857
2026-02-25,300739,sell,24.287850000000002,700,13.500747500000001,target_close_confirmed,2026-02-24,22.521428571428572,23.3
2026-02-25,300408,sell,67.96600000000001,100,8.3983,target_close_confirmed,2026-02-24,59.612857142857145,64.11500000000001
2026-02-25,300738,sell,24.237875000000003,700,13.48325625,close_stop,2026-02-24,24.5686,31.792142857142856
2026-02-26,603612,buy,33.4167,400,5.1336668,strategy_v5_alpha_ranked_entry,2026-02-25,30.8994,38.950714285714284
2026-02-26,002297,buy,13.776884999999998,600,5.0,strategy_v5_alpha_ranked_entry,2026-02-25,12.9458,15.470714285714287
2026-02-26,000875,buy,7.503749999999999,2100,5.0,strategy_v5_alpha_ranked_entry,2026-02-25,7.1442,8.577142857142857
2026-02-27,000875,add,7.6738349999999995,700,5.0,pyramid_add,2026-02-26,7.2618,8.701428571428572
2026-03-04,603876,sell,18.200895000000003,1000,14.282456450000002,close_stop,2026-03-03,19.72,21.806428571428572
2026-03-04,002297,sell,11.65417,600,8.496251,close_stop,2026-03-03,12.9458,15.470714285714287
2026-03-05,600388,sell,19.620185,100,6.000629435,close_stop,2026-03-04,19.613,21.11642857142857
2026-03-05,603612,sell,33.992995,400,11.93457098,three_bars_no_high,2026-03-04,32.622,38.950714285714284
2026-03-06,000591,buy,6.153075,2600,5.0,strategy_v5_alpha_ranked_entry,2026-03-05,5.8114,6.792142857142857
2026-03-06,600863,buy,5.28264,900,5.04754376,strategy_v5_alpha_ranked_entry,2026-03-05,5.1156,5.7335714285714285
2026-03-06,300215,buy,10.535264999999999,1300,5.0,strategy_v5_alpha_ranked_entry,2026-03-05,9.9274,12.822142857142858
2026-03-06,002270,buy,36.03801,400,5.0,strategy_v5_alpha_ranked_entry,2026-03-05,34.593999999999994,42.25714285714285
2026-03-11,300215,sell,10.604695,1300,11.89305175,three_bars_no_high,2026-03-10,10.233,12.822142857142858
2026-03-12,002270,sell,36.081950000000006,400,12.21639,three_bars_no_high,2026-03-11,35.498,42.25714285714285
2026-03-12,002056,buy,22.861425,300,5.0,strategy_v5_alpha_ranked_entry,2026-03-11,21.9128,25.44214285714286
2026-03-13,002056,add,23.801895,100,5.0,pyramid_add,2026-03-12,22.344,26.13642857142857
2026-03-13,600666,buy,4.342169999999999,1800,5.07815906,strategy_v5_alpha_ranked_entry,2026-03-12,4.1552,5.035714285714286
2026-03-16,000875,sell,8.07596,2800,16.959516,three_bars_no_high,2026-03-13,7.917999999999999,8.701428571428572
2026-03-17,000591,sell,6.006995,2600,12.8090935,close_stop,2026-03-16,6.141,6.792142857142857
2026-03-17,600863,sell,5.187405000000001,900,7.381018895000001,time_stop,2026-03-16,5.1156,5.7335714285714285
2026-03-17,002056,sell,23.72813,400,9.745626000000001,close_stop,2026-03-16,23.82,26.13642857142857
2026-03-17,300279,buy,11.30565,1000,5.0,strategy_v5_alpha_ranked_entry,2026-03-16,10.3194,13.20857142857143
2026-03-18,600666,sell,4.107945000000001,1800,8.771093510000002,close_stop,2026-03-17,4.1552,5.035714285714286
2026-03-18,600667,buy,11.705849999999998,1300,5.15217605,strategy_v5_alpha_ranked_entry,2026-03-17,10.9956,13.687857142857142
2026-03-20,601991,buy,4.152075,3600,5.1494747,strategy_v5_alpha_ranked_entry,2026-03-19,4.0572,4.44
2026-03-23,600667,sell,10.09495,1300,11.69295185,close_stop,2026-03-20,10.9956,13.687857142857142
2026-03-23,601225,buy,27.513749999999998,400,5.110055,strategy_v5_alpha_ranked_entry,2026-03-20,25.676,30.41071428571428
2026-03-24,300279,sell,9.685155,1000,9.8425775,close_stop,2026-03-23,10.3194,13.20857142857143
2026-03-24,601991,sell,4.09795,3600,12.5238362,close_stop,2026-03-23,4.0572,4.44
2026-03-26,300231,buy,12.50625,1100,5.0,strategy_v5_alpha_ranked_entry,2026-03-25,12.0736,14.414285714285713
2026-03-26,002980,buy,40.250114999999994,300,5.0,strategy_v5_alpha_ranked_entry,2026-03-25,37.886799999999994,49.13285714285714
2026-03-26,000509,buy,4.5822899999999995,3200,5.0,strategy_v5_alpha_ranked_entry,2026-03-25,4.3218,5.498571428571428
2026-03-27,601225,sell,25.987000000000002,400,10.301348000000003,three_bars_no_high,2026-03-26,25.676,30.41071428571428
2026-03-30,300231,sell,11.764115,1100,11.47026325,close_stop,2026-03-27,12.0736,14.414285714285713
2026-03-30,000509,sell,4.11794,3200,11.588704,close_stop,2026-03-27,4.3218,5.498571428571428
2026-03-30,603977,buy,16.638315,600,5.09982989,strategy_v5_alpha_ranked_entry,2026-03-27,15.758399999999998,19.880000000000003
2026-03-30,000968,buy,11.915955,100,5.0,strategy_v5_alpha_ranked_entry,2026-03-27,10.7898,13.925
2026-03-31,603738,buy,26.35317,500,5.13176585,strategy_v5_alpha_ranked_entry,2026-03-30,25.0978,32.63142857142857
2026-03-31,603876,buy,22.73136,100,5.02273136,strategy_v5_alpha_ranked_entry,2026-03-30,21.756,27.73071428571428
2026-04-01,000968,sell,10.144925,100,5.50724625,close_stop,2026-03-31,10.7898,13.925
2026-04-02,603977,sell,16.761615,600,10.12905419,three_bars_no_high,2026-04-01,15.758399999999998,19.880000000000003
2026-04-03,603738,sell,25.417285,500,11.481407675,close_stop,2026-04-02,25.0978,32.63142857142857
2026-04-03,603876,sell,22.22888,100,6.13367288,three_bars_no_high,2026-04-02,21.756,27.73071428571428
2026-04-03,301312,buy,105.862905,100,5.0,strategy_v5_alpha_ranked_entry,2026-04-02,97.66680000000001,127.68928571428572
