decile,candidate_count,selected_count,avg_ranking_score,avg_entry_score
1,3219,31,91.242153,77.611059
2,3219,18,85.865336,79.829139
3,3219,11,81.723185,77.455732
4,3219,16,79.629987,76.163405
5,3219,4,77.295931,77.977633
6,3219,5,75.811035,77.340789
7,3219,13,74.309969,75.439578
8,3219,4,71.490335,75.010873
9,3219,3,70.090778,75.852749
10,3215,4,70.000000,76.124417
