code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count
603306,华懋科技,2026-01-06,2026-01-09,65.81289,63.668150000000004,100,-214.47399999999917,13.312888540000001,-227.78688853999915,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.06581289,8.247075650000001,1
600219,南山铝业,2026-01-06,2026-01-13,5.552775,5.7671149999999995,2700,578.718,18.09124228,560.62675772,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.149924925,12.941317354999999,1
002446,盛路通信,2026-01-06,2026-01-13,10.625309999999999,13.873060000000002,200,649.5500000000006,11.387306,638.1626940000007,7,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,6.387306000000001,1
600320,振华重工,2026-01-12,2026-01-15,5.292644999999999,5.11744,1000,-175.20499999999916,12.66282085,-187.86782084999916,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.05292645,7.6098944,1
601100,恒立液压,2026-01-14,2026-01-15,119.81988,112.9435,100,-687.6379999999997,15.87993838,-703.5179383799997,1,strategy_v5_alpha_ranked_entry,close_stop,5.11981988,10.7601185,1
002985,北摩高科,2026-01-06,2026-01-16,32.11605,33.513235,400,558.8740000000001,16.702647,542.1713530000002,10,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.702646999999999,1
600650,锦江在线,2026-01-16,2026-01-19,16.88844,16.081955,800,-645.1879999999989,16.69654516,-661.8845451599989,3,strategy_v5_alpha_ranked_entry,close_stop,5.13510752,11.56143764,1
000933,神火股份,2026-01-06,2026-01-20,29.324654999999996,31.934025000000002,100,260.9370000000006,11.59670125,249.34029875000058,14,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,6.596701250000001,1
601212,白银有色,2026-01-14,2026-01-22,6.826941176470588,8.245875,1700,2412.1875,22.265231625,2389.922268375,8,strategy_v5_alpha_ranked_entry,target_close_confirmed,10.116057999999999,12.149173625,2
688147,微导纳米,2026-01-19,2026-01-22,79.05950999999999,78.410775,100,-64.87349999999878,14.078009035000001,-78.9515090349988,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.07905951,8.998949525,1
002957,科瑞技术,2026-01-16,2026-01-27,24.148735,23.86806,600,-168.4049999999992,22.160418,-190.5654179999992,11,strategy_v5_alpha_ranked_entry,time_stop,10.0,12.160418,2
600487,亨通光电,2026-01-20,2026-01-27,27.4137,30.68465,100,327.09500000000025,11.59233085,315.50266915000026,7,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0274137,6.56491715,1
002080,中材科技,2026-01-23,2026-01-28,41.350665,38.9805,200,-474.033,13.89805,-487.93105,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,8.89805,1
300739,明阳电路,2026-01-23,2026-01-29,20.009999999999998,19.240375,700,-538.7374999999985,16.73413125,-555.4716312499985,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.73413125,1
002585,双星新材,2026-01-26,2026-01-29,7.8739349999999995,7.286355,200,-117.51599999999982,10.7286355,-128.24463549999982,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,5.7286355,1
688601,力芯微,2026-01-29,2026-02-02,56.258115,50.57470000000001,200,-1136.682999999998,15.271135630000003,-1151.9541356299978,4,strategy_v5_alpha_ranked_entry,close_stop,5.11251623,10.158619400000003,1
300863,卡倍亿,2026-01-30,2026-02-02,55.097535,60.41977500000001,200,1064.4480000000017,16.0419775,1048.4060225000017,3,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,11.041977500000002,1
300708,聚灿光电,2026-01-29,2026-02-03,10.38519,10.044975,1300,-442.27949999999845,16.52923375,-458.80873374999845,5,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.52923375,1
601857,中国石油,2026-01-29,2026-02-05,10.90545,10.604695,1300,-390.9815000000007,17.172683635,-408.1541836350007,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.14177085,12.030912785,1
000415,渤海租赁,2026-02-03,2026-02-05,4.36218,4.587705,2500,563.8124999999983,15.73463125,548.0778687499983,2,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,10.73463125,1
002970,锐明技术,2026-02-02,2026-02-06,61.49073,72.28384,200,2158.622,17.228384,2141.393616,4,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,12.228384,1
300398,飞凯材料,2026-02-04,2026-02-06,27.83391,25.757115000000002,500,-1038.3974999999984,16.43927875,-1054.8367787499985,2,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.43927875,1
688155,先惠技术,2026-02-04,2026-02-10,97.51873499999999,92.9535,100,-456.5234999999987,14.838147235000001,-471.3616472349987,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.097518735,9.7406285,1
600233,圆通速递,2026-02-06,2026-02-11,17.908949999999997,17.901045,800,-6.323999999997909,17.44689796,-23.77089795999791,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.1432716,12.303626359999999,1
001896,豫能控股,2026-02-10,2026-02-12,6.803399999999999,8.285855,2200,3261.4010000000017,19.1144405,3242.2865595000017,2,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,14.1144405,1
300739,明阳电路,2026-02-10,2026-02-25,20.43021,24.287850000000002,700,2700.3480000000027,18.500747500000003,2681.8472525000025,15,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,13.500747500000001,1
300408,三环集团,2026-02-11,2026-02-25,56.058015,67.96600000000001,100,1190.798500000001,13.3983,1177.400200000001,14,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,8.3983,1
300738,奥飞数据,2026-02-12,2026-02-25,25.798607142857144,24.237875000000003,700,-1092.5124999999987,23.48325625,-1115.9957562499987,13,strategy_v5_alpha_ranked_entry,close_stop,10.0,13.48325625,2
603876,鼎胜新材,2026-02-10,2026-03-04,18.357174,18.200895000000003,1000,-156.27899999999784,24.466028190000003,-180.74502818999784,22,strategy_v5_alpha_ranked_entry,close_stop,10.18357174,14.282456450000002,2
002297,博云新材,2026-02-26,2026-03-04,13.776884999999998,11.65417,600,-1273.6289999999985,13.496251,-1287.1252509999986,6,strategy_v5_alpha_ranked_entry,close_stop,5.0,8.496251,1
600388,龙净环保,2026-02-13,2026-03-05,18.959474999999998,19.620185,100,66.07100000000017,11.01958891,55.05141109000017,20,strategy_v5_alpha_ranked_entry,close_stop,5.018959475,6.000629435,1
603612,索通发展,2026-02-26,2026-03-05,33.4167,33.992995,400,230.5180000000007,17.06823778,213.4497622200007,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.1336668,11.93457098,1
300215,电科院,2026-03-06,2026-03-11,10.535264999999999,10.604695,1300,90.25900000000071,16.893051749999998,73.36594825000071,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.89305175,1
002270,华明装备,2026-03-06,2026-03-12,36.03801,36.081950000000006,400,17.576000000002523,17.21639,0.3596100000025224,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,12.21639,1
000875,电投绿能,2026-02-26,2026-03-16,7.546271249999998,8.07596,2800,1483.128500000005,26.959516,1456.1689840000051,18,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.0,16.959516,2
000591,太阳能,2026-03-06,2026-03-17,6.153075,6.006995,2600,-379.80800000000113,17.8090935,-397.61709350000115,11,strategy_v5_alpha_ranked_entry,close_stop,5.0,12.8090935,1
600863,华能蒙电,2026-03-06,2026-03-17,5.28264,5.187405000000001,900,-85.71149999999896,12.428562655,-98.14006265499896,11,strategy_v5_alpha_ranked_entry,time_stop,5.04754376,7.381018895000001,1
002056,横店东磁,2026-03-12,2026-03-17,23.0965425,23.72813,400,252.63499999999937,19.745626,232.88937399999935,5,strategy_v5_alpha_ranked_entry,close_stop,10.0,9.745626000000001,2
