date,code,side,price,shares,fee,reason,signal_date,stop,target,fill_id,candidate_id,order_intent_id,pending_order_id,requested_shares,allowed_at_open_shares,signal_close,next_open,opening_gap
2026-01-06,000933,buy,29.324654999999996,500,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-05,27.6948,31.523571428571426,fill_f0c033d472f1b416,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_64cd1313e6baac0c,500,500,28.47,29.31,0.030019494204425623
2026-01-06,002379,buy,25.6128,500,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-05,24.1668,28.340714285714284,fill_91f4cecc8ea5a666,cand_0c7fcb81ba43826b,intent_5dda6433030aa531,pend_53c0b2acaa75739c,500,500,25.18,25.6,0.017188244638602024
2026-01-06,002446,buy,10.625309999999999,1200,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-05,10.29,12.602142857142857,fill_baf4443a1fd0546b,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_c906bf02e64725de,1200,1200,10.77,10.62,-0.01343454038997216
2026-01-07,000426,buy,41.0205,300,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-06,38.122,46.67571428571428,fill_982f283e26e1fb1c,cand_93f34050f31dd0aa,intent_3868083e280d3f0c,pend_1bb327036788f457,300,300,40.29,41.0,0.018131049888309825
2026-01-07,000603,buy,34.327155,300,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-06,31.7912,40.28785714285714,fill_712854a1d01be53b,cand_e95f08f448f56efe,intent_e89bf6c8b1007c94,pend_e620ed56bf5f2367,400,300,33.96,34.31,0.010811395759717124
2026-01-08,000426,add,41.960969999999996,100,5.0,pyramid_add,2026-01-07,39.935,48.80428571428571,fill_507e85c9b81b8a5b,cand_93f34050f31dd0aa,intent_6f315c3cf65ffe35,pend_e8771a2e651dd2da,100,100,42.14,41.94,-0.004248457522543991
2026-01-13,002379,sell,28.555715000000003,500,12.138928750000002,target_close_confirmed,2026-01-12,25.823,28.340714285714284,fill_adb34acb54dcf157,cand_0c7fcb81ba43826b,intent_5dda6433030aa531,pend_3c9f96ed6a38537d,500,500,25.18,28.57,0.0070497003877334485
2026-01-13,002446,sell,13.873060000000002,1200,13.323836000000002,target_close_confirmed,2026-01-12,11.988571428571428,12.602142857142857,fill_9c4cb4180b422c8c,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_e679e4e77d23613c,1200,1200,10.77,13.88,0.03814510097232615
2026-01-14,601100,buy,119.81988,100,5.11981988,strategy_v5_alpha_first_fit_frozen_entry,2026-01-13,116.0516,136.77,fill_fe4ae6acf3eed59a,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,100,120.29,119.76,-0.003908221797323197
2026-01-14,601212,buy,6.7033499999999995,2000,5.134067,strategy_v5_alpha_first_fit_frozen_entry,2026-01-13,6.1642,7.675000000000001,fill_6d565fef6eb0a61d,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,2500,2000,6.55,6.7,0.023412213740457988
2026-01-15,000426,sell,50.364805000000004,400,15.109441500000003,target_close_confirmed,2026-01-14,45.02428571428572,48.80428571428571,fill_77aa7c3c565dae63,cand_93f34050f31dd0aa,intent_3868083e280d3f0c,pend_578f97a031fa9e45,400,400,40.29,50.39,0.00019849146486694558
2026-01-15,000603,sell,40.53972,300,11.080958,target_close_confirmed,2026-01-14,36.31714285714286,40.28785714285714,fill_e6c3fd4b9bc0e3d2,cand_e95f08f448f56efe,intent_e89bf6c8b1007c94,pend_85e7ade0e41c5875,300,300,33.96,40.56,-0.008797653958944274
2026-01-15,601100,sell,112.9435,100,10.7601185,close_stop,2026-01-14,116.0516,136.77,fill_504adf699843ff24,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_c9be20ae4f51b4e3,100,100,120.29,113.0,-0.010507880910682998
2026-01-16,601212,add,7.0035,700,5.0490245,pyramid_add,2026-01-15,6.6444,8.422142857142857,fill_3f7b9a1d30ee755a,cand_6215266782bf8ea7,intent_344da1324e63cb3b,pend_19788577ea63790c,700,800,7.16,7.0,-0.021857541899441335
2026-01-16,002281,buy,78.039,100,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-15,75.166,89.57,fill_c041588283f2468e,cand_c0fb99f296f3f6f7,intent_b8c3fcf8413f765c,pend_4de22cc44849438b,100,100,78.5,78.0,-0.005872611464968092
2026-01-16,600650,buy,16.88844,900,5.15199596,strategy_v5_alpha_first_fit_frozen_entry,2026-01-15,16.718799999999998,19.020714285714284,fill_297caecd47c55f46,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_eebe831f91bec89a,900,900,17.12,16.88,-0.013525700934579499
2026-01-19,600650,sell,16.081955,900,12.381617345,close_stop,2026-01-16,16.718799999999998,19.020714285714284,fill_681f48bb10c811d9,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_3de566bf17f1dda3,900,900,17.12,16.09,-0.020693852708460136
2026-01-19,002560,buy,10.855424999999999,100,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-16,10.3684,12.390714285714285,fill_db0f14a6b7e241ef,cand_e03c76c3af51b7ed,intent_c0507feb39282ed0,pend_25ba707d0f3f531e,100,100,11.03,10.85,-0.0158272892112421
2026-01-20,000933,sell,31.934025000000002,500,12.983506250000001,target_close_confirmed,2026-01-19,30.421,31.523571428571426,fill_d8b276ed0aef5f99,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_d1225b30e454ecba,500,500,28.47,31.95,0.006299212598425141
2026-01-20,002281,sell,72.83356500000001,100,8.64167825,close_stop,2026-01-19,75.166,89.57,fill_e9798d6055db9c90,cand_c0fb99f296f3f6f7,intent_b8c3fcf8413f765c,pend_61ee4c69ab190135,100,100,78.5,72.87,0.000137249519626792
2026-01-20,688291,buy,51.28563,200,5.10257126,strategy_v5_alpha_first_fit_frozen_entry,2026-01-19,46.55,63.78928571428571,fill_7ab93b9a964b5b92,cand_3e44707f24f3c5ab,intent_05bd812f06e005b9,pend_54cb02557f55f770,200,200,51.05,51.26,0.004615670910871783
2026-01-21,600486,buy,74.13704999999999,200,5.1482741,strategy_v5_alpha_first_fit_frozen_entry,2026-01-20,70.7364,81.86214285714287,fill_9a55a83f72f736b0,cand_18a3224b5acff405,intent_6afa5e3438bd723b,pend_0dcefb53fba936bc,200,200,74.15,74.1,-0.00017464598786265384
2026-01-22,601212,sell,8.245875,2700,16.920535499999996,target_close_confirmed,2026-01-21,7.585714285714285,8.422142857142857,fill_d156fa572e404d27,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_9fbb0c1d7698ceab,2700,2700,6.55,8.25,-0.037339556592765444
2026-01-23,002080,buy,41.350665,300,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-22,38.416000000000004,46.7,fill_32cde38d8fb1d5b7,cand_60247cc3ece7e7cb,intent_4445a9feff8df63b,pend_cb87dceb06e23ae8,400,300,41.14,41.33,0.005120685464268249
2026-01-23,300731,buy,63.79187999999999,100,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-22,61.936,76.5,fill_f63f659d7dfd718a,cand_d371c46c5bc35445,intent_5a53d11c89feb66d,pend_21ee74efa43a3163,100,200,64.5,63.76,-0.01097860465116296
2026-01-26,300731,sell,60.179895,100,8.00899475,close_stop,2026-01-23,61.936,76.5,fill_9983db651b982314,cand_d371c46c5bc35445,intent_5a53d11c89feb66d,pend_2fcd69c8e5ee9ee7,100,100,64.5,60.21,-0.02081639290941617
2026-01-27,300242,buy,6.48324,2100,5.0,strategy_v5_alpha_first_fit_frozen_entry,2026-01-26,6.1544,8.107142857142856,fill_be777530cbd736c3,cand_ec2694e930fa356a,intent_d9d1f3607c27a866,pend_f28059cf0fb03f59,2100,2600,6.68,6.48,-0.02945508982035916
