decile,candidate_count,selected_count,avg_ranking_score,avg_entry_score
1,57,18,92.910883,61.754386
2,57,19,87.552499,61.052632
3,57,13,85.479371,60.701754
4,57,10,81.498493,61.578947
5,57,15,79.854939,61.052632
6,57,6,77.528182,60.000000
7,57,4,75.792596,60.350877
8,57,9,75.000000,60.000000
9,57,8,72.113143,63.508772
10,53,7,70.001525,64.716981
