code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count,trade_id,position_id,entry_fill_id,exit_fill_id,candidate_id,order_intent_id,pending_order_id,signal_date,signal_close,next_open,opening_gap,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,realized_r_multiple
603306,华懋科技,2026-01-06,2026-01-09,65.81289,63.668150000000004,100,-214.47399999999917,13.312888540000001,-227.78688853999915,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.06581289,8.247075650000001,1,trade_ab82f2df0ac32d9a,pos_e01feb25e7faf397,fill_9fbc885460125d10,fill_63f83ed85eec76ef,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,2026-01-05,65.78,65.78,0.0004999999999999449,62.523999999999994,74.87857142857143,2.794401544401539,328.88900000000024,-0.6925950352246472
600219,南山铝业,2026-01-06,2026-01-13,5.552775,5.7671149999999995,2700,578.718,18.09124228,560.62675772,7,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.149924925,12.941317354999999,1,trade_bf4b6565911898f1,pos_6b13c1b13e8e9609,fill_3c642eea09e515a7,fill_4b7853ee54506c4e,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2026-01-05,5.5,5.55,0.009595454545454407,5.311599999999999,6.04,2.866242038216552,651.1725000000004,0.8609496834095416
002446,盛路通信,2026-01-06,2026-01-13,10.625309999999999,13.873060000000002,200,649.5500000000006,11.387306,638.1626940000007,7,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,6.387306000000001,1,trade_294c1eae64d4e049,pos_3ccd9660fcba7a4f,fill_8b771b2157f6ba60,fill_8ed4ea44566effff,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,2026-01-05,10.77,10.62,-0.01343454038997216,10.29,12.602142857142857,3.8169642857142825,67.06199999999995,9.51601046792522
600320,振华重工,2026-01-12,2026-01-15,5.292644999999999,5.11744,1000,-175.20499999999916,12.66282085,-187.86782084999916,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.05292645,7.6098944,1,trade_f29cbfcb4ed52d6e,pos_698b4358c60b8c4c,fill_28f689f270286a15,fill_6e58d034dc54de18,cand_5e5f3cc8567452b2,intent_044d1ac59db2e27c,pend_7223cdbeac4c088f,2026-01-09,5.3,5.29,-0.0013877358490567149,5.0568,5.795,2.0353618421052646,235.8449999999994,-0.7965732614640957
601100,恒立液压,2026-01-14,2026-01-15,119.81988,112.9435,100,-687.6379999999997,15.87993838,-703.5179383799997,1,strategy_v5_alpha_ranked_entry,close_stop,5.11981988,10.7601185,1,trade_7470141add57d328,pos_90074a0c3729702a,fill_22e35b7909ac9a01,fill_504adf699843ff24,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,2026-01-13,120.29,119.76,-0.003908221797323197,116.0516,136.77,3.8882597206492906,376.82800000000043,-1.8669470909274228
002985,北摩高科,2026-01-06,2026-01-16,32.11605,33.513235,400,558.8740000000001,16.702647,542.1713530000002,10,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.702646999999999,1,trade_ff612e122988c51f,pos_80c680d5dd92971f,fill_eaae38601ea1bcbd,fill_2c62351c26b613ee,cand_ce317c6ee7bc3126,intent_bec463ec5e3e2485,pend_30a828fe427b235b,2026-01-05,32.37,32.1,-0.00784522706209445,30.8994,36.20142857142857,2.605350585766749,486.66000000000054,1.1140659865203624
600650,锦江在线,2026-01-16,2026-01-19,16.88844,16.081955,800,-645.1879999999989,16.69654516,-661.8845451599989,3,strategy_v5_alpha_ranked_entry,close_stop,5.13510752,11.56143764,1,trade_1d85474cde11f119,pos_51c8ea4d3d28f063,fill_4e6e5e029ea8d3f9,fill_6948e82527c66a8d,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_f1a1be876f754604,2026-01-15,17.12,16.88,-0.013525700934579499,16.718799999999998,19.020714285714284,4.737572995299774,135.7120000000009,-4.877126158040516
000933,神火股份,2026-01-06,2026-01-20,29.324654999999996,31.934025000000002,100,260.9370000000006,11.59670125,249.34029875000058,14,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,6.596701250000001,1,trade_661b6bdf93a36714,pos_67180380bcf9588d,fill_b7b78b7ac9524f2a,fill_97834f5d897cc32c,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_7a2271da68bea487,2026-01-05,28.47,29.31,0.030019494204425623,27.6948,31.523571428571426,3.9390756302521086,162.98549999999955,1.529831173632018
601212,白银有色,2026-01-14,2026-01-22,6.826941176470588,8.245875,1700,2412.1875,22.265231625,2389.922268375,8,strategy_v5_alpha_ranked_entry,target_close_confirmed,10.116057999999999,12.149173625,2,trade_b1b6268d2252f571,pos_4b616e7a705c98a2,fill_637064ed72586454,fill_d156fa572e404d27,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,2026-01-13,6.55,6.7,0.023412213740457988,6.1642,7.675000000000001,2.916018662519445,539.1499999999994,4.432759470230923
688147,微导纳米,2026-01-19,2026-01-22,79.05950999999999,78.410775,100,-64.87349999999878,14.078009035000001,-78.9515090349988,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.07905951,8.998949525,1,trade_7dce19bdc9368596,pos_c611911a8a95a70e,fill_d6065580fd3e2a36,fill_06ae582f39113c7b,cand_8d1c58764c6021b6,intent_832646cccfe2dd73,pend_e6462b3e6c8cbc19,2026-01-16,79.5,79.02,-0.005540754716981233,74.28399999999999,93.56357142857144,2.6962368536371577,477.5509999999997,-0.16532581658293846
002957,科瑞技术,2026-01-16,2026-01-27,24.148735,23.86806,600,-168.4049999999992,22.160418,-190.5654179999992,11,strategy_v5_alpha_ranked_entry,time_stop,10.0,12.160418,2,trade_59920cf44a5a0c49,pos_0430f5fcd40c86a2,fill_86392d7a8d31118d,fill_20d44dd7043d9d8c,cand_fd80f613e72b90ae,intent_4c4ffec47b67f98d,pend_962e0bb4fc8d23c0,2026-01-15,24.01,24.1,0.0042503123698458545,22.736,26.635,2.060439560439559,550.4199999999997,-0.34621819337959975
