code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason
300568,星源材质,2025-08-14,2025-08-19,90.589272,89.469243,100,-112.00289999999882,9.47346215,-121.47636214999882,5,standard_520_discipline,discipline_exit
000725,京东方Ａ,2025-08-26,2025-09-02,22.063359499999997,22.209889500000003,900,131.87700000000504,14.994450275000002,116.88254972500503,7,standard_520_discipline,discipline_exit
002132,恒星科技,2025-11-12,2025-11-19,24.187837874999996,23.713137500000002,800,-379.76029999999525,14.485255,-394.24555499999525,7,standard_520_discipline,discipline_exit
