code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count,trade_id,position_id,entry_fill_id,exit_fill_id,candidate_id,order_intent_id,pending_order_id,signal_date,signal_close,next_open,opening_gap,raw_opening_gap,execution_slippage,all_in_entry_move,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,realized_r_multiple,total_committed_risk_cash,realized_r_on_initial_risk,realized_r_on_total_risk,add_count,all_fill_ids
002379,宏桥控股,2026-01-06,2026-01-13,25.6128,28.555715000000003,500,1471.4575000000013,17.13892875,1454.3185712500012,7,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,5.0,12.138928750000002,1,trade_ffc2dd771a112dcb,pos_faaa313ca87994de,fill_91f4cecc8ea5a666,fill_adb34acb54dcf157,cand_0c7fcb81ba43826b,intent_5dda6433030aa531,pend_53c0b2acaa75739c,2026-01-05,25.18,25.6,0.017188244638602024,0.016679904686258906,0.0004999999999999449,0.017188244638602024,24.1668,28.340714285714284,3.1195364051660888,723.0000000000008,2.011505631051175,723.0000000000008,2.011505631051175,2.011505631051175,0,fill_91f4cecc8ea5a666|fill_adb34acb54dcf157
002446,盛路通信,2026-01-06,2026-01-13,10.625309999999999,13.873060000000002,1200,3897.3000000000043,18.323836,3878.9761640000042,7,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,5.0,13.323836000000002,1,trade_e476f0124f42b2b4,pos_2e488a95f2c57fdf,fill_baf4443a1fd0546b,fill_9c4cb4180b422c8c,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_c906bf02e64725de,2026-01-05,10.77,10.62,-0.01343454038997216,-0.013927576601671321,0.0004999999999999449,-0.01343454038997216,10.29,12.602142857142857,3.8169642857142825,402.37199999999973,9.640273587625398,402.37199999999973,9.640273587625398,9.640273587625398,0,fill_baf4443a1fd0546b|fill_9c4cb4180b422c8c
000426,兴业银锡,2026-01-07,2026-01-15,41.2556175,50.364805000000004,400,3643.675000000002,25.109441500000003,3618.565558500002,8,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,10.0,15.109441500000003,2,trade_f92d8fa6c8fc5816,pos_e8a5169d2e1dcd67,fill_982f283e26e1fb1c,fill_77aa7c3c565dae63,cand_93f34050f31dd0aa,intent_3868083e280d3f0c,pend_1bb327036788f457,2026-01-06,40.29,41.0,0.018131049888309825,0.017622238768925325,0.0062345731707316165,0.02396667907669392,38.122,46.67571428571428,2.945440168687399,869.5499999999995,4.161423217181306,1072.1469999999988,4.161423217181306,3.375064761175479,1,fill_982f283e26e1fb1c|fill_507e85c9b81b8a5b|fill_77aa7c3c565dae63
000603,盛达资源,2026-01-07,2026-01-15,34.327155,40.53972,300,1863.7695000000015,16.080958000000003,1847.6885420000015,8,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,5.0,11.080958,1,trade_f1d28f3f367cfcce,pos_e76ae3bcc294fbb7,fill_712854a1d01be53b,fill_e6c3fd4b9bc0e3d2,cand_e95f08f448f56efe,intent_e89bf6c8b1007c94,pend_e620ed56bf5f2367,2026-01-06,33.96,34.31,0.010811395759717124,0.010306242638398189,0.0004999999999999449,0.010811395759717124,31.7912,40.28785714285714,2.9176766612214764,760.7864999999994,2.428655795022655,760.7864999999994,2.428655795022655,2.428655795022655,0,fill_712854a1d01be53b|fill_e6c3fd4b9bc0e3d2
601100,恒立液压,2026-01-14,2026-01-15,119.81988,112.9435,100,-687.6379999999997,15.87993838,-703.5179383799997,1,strategy_v5_alpha_first_fit_frozen_entry,close_stop,5.11981988,10.7601185,1,trade_7470141add57d328,pos_90074a0c3729702a,fill_fe4ae6acf3eed59a,fill_504adf699843ff24,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,2026-01-13,120.29,119.76,-0.003908221797323197,-0.004406018787929233,0.0004999999999999449,-0.003908221797323197,116.0516,136.77,3.8882597206492906,376.82800000000043,-1.8669470909274228,376.82800000000043,-1.8669470909274228,-1.8669470909274228,0,fill_fe4ae6acf3eed59a|fill_504adf699843ff24
600650,锦江在线,2026-01-16,2026-01-19,16.88844,16.081955,900,-725.8364999999988,17.533613305,-743.3701133049988,3,strategy_v5_alpha_first_fit_frozen_entry,close_stop,5.15199596,12.381617345,1,trade_c229711a28657e51,pos_6749967172cc2b8a,fill_297caecd47c55f46,fill_681f48bb10c811d9,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_eebe831f91bec89a,2026-01-15,17.12,16.88,-0.013525700934579499,-0.014018691588785215,0.0004999999999999449,-0.013525700934579499,16.718799999999998,19.020714285714284,4.737572995299774,152.676000000001,-4.868938885646688,152.676000000001,-4.868938885646688,-4.868938885646688,0,fill_297caecd47c55f46|fill_681f48bb10c811d9
000933,神火股份,2026-01-06,2026-01-20,29.324654999999996,31.934025000000002,500,1304.6850000000027,17.98350625,1286.7014937500028,14,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,5.0,12.983506250000001,1,trade_6a263a3e6b26dfa9,pos_0ea40b0b81628b68,fill_f0c033d472f1b416,fill_d8b276ed0aef5f99,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_64cd1313e6baac0c,2026-01-05,28.47,29.31,0.030019494204425623,0.02950474183350904,0.0004999999999999449,0.030019494204425623,27.6948,31.523571428571426,3.9390756302521086,814.9274999999978,1.578915294612105,814.9274999999978,1.578915294612105,1.578915294612105,0,fill_f0c033d472f1b416|fill_d8b276ed0aef5f99
002281,光迅科技,2026-01-16,2026-01-20,78.039,72.83356500000001,100,-520.5434999999994,13.64167825,-534.1851782499995,4,strategy_v5_alpha_first_fit_frozen_entry,close_stop,5.0,8.64167825,1,trade_3dd4ec26591cc67e,pos_dc9edfbae3731d5c,fill_c041588283f2468e,fill_e9798d6055db9c90,cand_c0fb99f296f3f6f7,intent_b8c3fcf8413f765c,pend_4de22cc44849438b,2026-01-15,78.5,78.0,-0.005872611464968092,-0.006369426751592355,0.0004999999999999449,-0.005872611464968092,75.166,89.57,3.3203359328134323,287.30000000000047,-1.859328848764353,287.30000000000047,-1.859328848764353,-1.859328848764353,0,fill_c041588283f2468e|fill_e9798d6055db9c90
601212,白银有色,2026-01-14,2026-01-22,6.781166666666666,8.245875,2700,3954.7125000000024,27.103626999999996,3927.6088730000024,8,strategy_v5_alpha_first_fit_frozen_entry,target_close_confirmed,10.1830915,16.920535499999996,2,trade_b1b6268d2252f571,pos_4b616e7a705c98a2,fill_6d565fef6eb0a61d,fill_d156fa572e404d27,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,2026-01-13,6.55,6.7,0.023412213740457988,0.022900763358778775,0.012114427860696386,0.035292620865139845,6.1642,7.675000000000001,2.916018662519445,1078.2999999999988,3.6424083028841756,1329.6699999999987,3.6424083028841756,2.953822281468339,1,fill_6d565fef6eb0a61d|fill_3f7b9a1d30ee755a|fill_d156fa572e404d27
300731,科创新源,2026-01-23,2026-01-26,63.79187999999999,60.179895,100,-361.198499999999,13.00899475,-374.207494749999,3,strategy_v5_alpha_first_fit_frozen_entry,close_stop,5.0,8.00899475,1,trade_1bfe5aeabb40469a,pos_5933870faf4a314c,fill_f63f659d7dfd718a,fill_9983db651b982314,cand_d371c46c5bc35445,intent_5a53d11c89feb66d,pend_21ee74efa43a3163,2026-01-22,64.5,63.76,-0.01097860465116296,-0.011472868217054288,0.0004999999999999449,-0.01097860465116296,61.936,76.5,4.6801872074882995,185.5879999999992,-2.0163345407569486,185.5879999999992,-2.0163345407569486,-2.0163345407569486,0,fill_f63f659d7dfd718a|fill_9983db651b982314
