decile,candidate_count,selected_count,avg_ranking_score,avg_entry_score
1,19,12,92.992104,60.000000
2,19,12,87.444137,61.052632
3,19,11,83.468521,62.105263
4,19,13,80.070676,64.210526
5,19,13,77.953105,60.000000
6,19,13,76.248752,60.000000
7,19,9,75.000000,61.052632
8,19,9,73.363476,63.684211
9,19,15,70.766466,65.789474
10,10,5,70.000000,68.000000
