group,count,avg_ranking_score,avg_alpha_total,avg_entry_score,avg_sector_heat,avg_opening_gap,avg_ex_ante_rr,avg_forward_return_20d,top_industries
first_fit_only,69,79.302888,78.927536,62.173913,45.284619,-0.002828,3.141888,0.032510,制造业:43|批发和零售业:5|采矿业:4|电力、热力、燃气及水生产和供应业:3|信息传输、软件和信息技术服务业:2
ranked_only,66,85.180580,84.772727,61.666667,48.678518,-0.001306,2.748580,0.062751,制造业:49|电力、热力、燃气及水生产和供应业:4|采矿业:4|信息传输、软件和信息技术服务业:2|金融业:2
intersection,43,78.680858,78.372093,61.162791,40.058005,-0.001344,3.255319,0.041925,制造业:29|信息传输、软件和信息技术服务业:5|电力、热力、燃气及水生产和供应业:3|建筑业:2|交通运输、仓储和邮政业:1
